day,arima_forecast,arima_lower,arima_upper,lstm_forecast,lstm_lower,lstm_upper,prophet_forecast,prophet_lower,prophet_upper,coin
25,3564.7496990017594,2415.032242844981,4714.467155158538,2569.8219833224684,,,3600.397195991777,2390.881920416531,4761.611826710124,ETH
26,3564.7496987789254,2392.4262572651396,4737.073140292711,2064.285633705554,,,3600.397195766715,2368.501994692488,4784.443871695638,ETH
27,3564.7496989847205,2370.2480148037093,4759.251383165732,1440.4109280183643,,,3600.3971959745677,2346.5455346556723,4806.843896997389,ETH
28,3564.7496990487375,2348.474115418895,4781.02528267858,2934.5766330140777,,,3600.397196039225,2324.989374264706,4828.835535505365,ETH
29,3564.7496990325535,2327.0832183967223,4802.416179668385,2540.220883951914,,,3600.397196022879,2303.812386212755,4850.440341465069,ETH
30,3564.7496990045547,2306.0557968589856,4823.443601150124,558.4477164805113,,,3600.3971959946,2282.9952388903957,4871.678037161625,ETH
1,0.5883302778610723,0.5020106124213563,0.6746499433007883,0.15556046621279734,,,0.594213580639683,0.4969905062971427,0.6813964427337962,ADA
2,0.5865411669469173,0.4769467214057895,0.6961356124880451,0.6874660561248696,,,0.5924065786163865,0.47217725419173157,0.7030969686129256,ADA
3,0.5877445406026479,0.45746205985751043,0.7180270213477854,0.5731315444084607,,,0.5936219860086744,0.4528874392589353,0.7252072915612633,ADA
4,0.5859006302150005,0.436029091033064,0.735772169396937,0.6064830757478417,,,0.5917596365171505,0.43166880012273334,0.7431298910909064,ADA
5,0.585353513188038,0.42057569633918024,0.7501313300368957,0.31723738714377464,,,0.5912070483199183,0.4163699393757884,0.7576326433372647,ADA
6,0.5859745051700941,0.4091801620864204,0.7627688482537678,0.4608305277197846,,,0.591834250221795,0.4050883604655562,0.7703965367363055,ADA
7,0.5858429180604156,0.396929856685327,0.7747559794355041,0.17117940324444395,,,0.5917013472410197,0.3929605581184737,0.7825035392298592,ADA
8,0.5858291798936963,0.3859026190330995,0.7857557407542931,0.1967054702166273,,,0.5916874716926332,0.3820435928427685,0.793613298161836,ADA
9,0.5860278551057878,0.375669123232521,0.7963865869790546,0.04717458864586812,,,0.5918881336568457,0.3719124320001958,0.8043504528488452,ADA
10,0.5859923261660933,0.36546773353987067,0.806516918792316,0.06716780370725643,,,0.5918522494277543,0.36181305620447196,0.8145820879802392,ADA
11,0.5859553850674815,0.35571180606292047,0.8161989640720424,0.11121660089740731,,,0.5918149389181563,0.35215468800229127,0.8243609537127629,ADA
12,0.5859837872149514,0.34645715661902354,0.8255104178108792,0.6095273720364807,,,0.5918436250871009,0.3429925850528333,0.833765521988988,ADA
13,0.5859685450758929,0.33746411073012195,0.8344729794216639,0.6645811780401589,,,0.5918282305266519,0.3340894696228207,0.8428177092158805,ADA
14,0.5859562377623181,0.3288038072079591,0.8431086683166771,0.09140642438272448,,,0.5918158001399413,0.3255157691358795,0.8515397549998439,ADA
15,0.5859648146151125,0.3204591769160414,0.8514704523141836,0.3933317853674545,,,0.5918244627612637,0.317254585146881,0.8599851568373255,ADA
16,0.585963937390775,0.31235368214827813,0.8595741926332718,0.700475841379958,,,0.5918235767646828,0.3092301453267953,0.8681699345596046,ADA
17,0.5859619643645315,0.30448114600696924,0.8674427827220939,0.3888222774498452,,,0.5918215840081769,0.30143633454689955,0.8761172105493148,ADA
18,0.5859645196355845,0.2968298209977176,0.8750992182734514,0.6369849769408248,,,0.5918241648319403,0.2938615227877404,0.883850210456186,ADA
19,0.5859644995950802,0.28937092772813816,0.8825580714620223,0.6978087581277982,,,0.591824144591031,0.2864772184508568,0.8913836521766425,ADA
20,0.5859637641516393,0.2820942468097537,0.8898332814935249,0.3295873408453065,,,0.5918234017931557,0.27927330434165615,0.8987316143084602,ADA
21,0.585964199090881,0.27498947989989336,0.8969389182818688,0.21111510641698816,,,0.5918238410817899,0.2722395851008944,0.9059083074646874,ADA
22,0.585964148483651,0.2680426019823822,0.9038856949849197,0.45905465713523524,,,0.5918237899684875,0.2653621759625584,0.9129245519347688,ADA
23,0.5859639257849271,0.26124413257734197,0.9106837189925121,0.4104046503806,,,0.5918235650427763,0.25863169125156854,0.9197905561824372,ADA
24,0.5859640298576352,0.2545856271421881,0.9173424325730823,0.5970368315536118,,,0.5918236701562115,0.2520397708707662,0.9265158568988132,ADA
25,0.5859640442499987,0.24805814279475208,0.9238699457052453,0.37856644681843943,,,0.5918236846924987,0.24557756136680456,0.9331086451622977,ADA
26,0.5859639985177565,0.24165431698262968,0.9302736800528832,0.2798525985109035,,,0.5918236385029341,0.2392377738128034,0.9395764168534121,ADA
27,0.5859640270080856,0.2353675513140478,0.9365605027021233,0.4236579907905324,,,0.5918236672781665,0.23301387580090732,0.9459261077291445,ADA
28,0.5859640343572454,0.2291915091545631,0.9427365595599277,0.2889973515852314,,,0.5918236747008179,0.22689959406301746,0.9521639251555271,ADA
29,0.5859640216725354,0.22312054836884926,0.9488074949762215,0.4605128074124334,,,0.5918236618892607,0.22088934288516077,0.9582955699259837,ADA
30,0.58596402662506,0.21714953293694306,0.9547785203131769,0.042454386402746076,,,0.5918236668913106,0.2149780376075736,0.9643263055163087,ADA
1,2.503017948240783,2.2871747387664096,2.7188611577151565,2.1079445911153973,,,2.5280481277231908,2.2643029913787456,2.7460497692923083,XRP
2,2.499598097214385,2.2145939824349856,2.7846022119937848,1.9283687709989346,,,2.5245940781865293,2.1924480426106356,2.8124482341137225,XRP
3,2.50403670856496,2.167260630792508,2.840812786337412,1.7384573116413966,,,2.52907707565061,2.1455880244845833,2.8692209142007865,XRP
4,2.523823602170667,2.143116128531189,2.904531075810145,1.7743952301716843,,,2.5490618381923733,2.121684967245877,2.9335763865682463,XRP
5,2.5277566094780974,2.098016884372513,2.957496334583682,2.0802804513573228,,,2.5530341755728783,2.077036715528788,2.9870712979295186,XRP
6,2.5245152078533795,2.0479977516497816,3.0010326640569773,1.2480475859223539,,,2.549760359931913,2.0275177741332837,3.0310429906975473,XRP
7,2.524603185161457,2.0071854306611803,3.042020939661734,0.1931961953339896,,,2.549849217013072,1.9871135763545684,3.0724411490583514,XRP
8,2.526815581064253,1.9717662929933035,3.081864869135203,1.7230833442622797,,,2.552083736874896,1.9520486300633704,3.112683517826555,XRP
9,2.5280619880281647,1.9370363609993375,3.119087615056992,0.5270873084762,,,2.5533426079084465,1.9176659973893442,3.150278491207562,XRP
10,2.5276899853173176,1.9022082461210972,3.153171724513538,0.0011346247191817292,,,2.5529668851704908,1.8831861636598861,3.1847034417586735,XRP
11,2.5274606390569714,1.8694372308899503,3.1854840472239925,1.694082855132971,,,2.552735245447541,1.8507428585810508,3.2173388876962323,XRP
12,2.5277023898338755,1.838787246570357,3.216617533097394,1.9904548079200348,,,2.5529794137322144,1.8203993741046534,3.248783708428368,XRP
13,2.527931740324221,1.8093940526445687,3.2464694280038735,2.4933512334149137,,,2.5532110577274634,1.791300112118123,3.2789341222839123,XRP
14,2.5279273403937417,1.7808641084513295,3.274990572336154,1.8029279736419448,,,2.553206613797679,1.7630554673668162,3.3077404780595154,XRP
15,2.52786879587913,1.753324928388145,3.3024126633701147,2.265312506213861,,,2.5531474838379213,1.7357916791042634,3.3354367900038158,XRP
16,2.527882690828626,1.7268202848324754,3.3289450968247762,0.6936466291552149,,,2.5531615177369122,1.7095520819841505,3.362234547793024,XRP
17,2.527919330443183,1.7011881072847994,3.3546505536015663,0.5899544560279462,,,2.5531985237476147,1.6841762262119515,3.388197059137582,XRP
18,2.527927260430221,1.6762905717149905,3.379563949145451,1.653561499782959,,,2.553206533034523,1.6595276659978406,3.4133595886369057,XRP
19,2.5279182190851017,1.652080880884089,3.4037555572861145,1.3624268519876903,,,2.553197401275953,1.6355600720752481,3.4377931128589756,XRP
20,2.5279163673210503,1.628531689606093,3.4273010450360077,0.1626777910857573,,,2.5531955309942607,1.612246372710032,3.4615740554863677,XRP
21,2.5279212005656233,1.6055911086271992,3.4502512925040474,2.380700870719982,,,2.5532004125712797,1.5895351975409273,3.484753805429088,XRP
22,2.5279236300510037,1.583204195158566,3.4726430649434414,0.9754953978683274,,,2.553202866351514,1.5673721532069804,3.507369495592876,XRP
23,2.5279226737985327,1.5613316550882042,3.4945136925088613,0.8057442076671273,,,2.5532019005365183,1.545718338537322,3.52945882943395,XRP
24,2.5279219014456764,1.5399435453871706,3.5159002575041822,0.9977241709005793,,,2.553201120460133,1.5245441099332988,3.551059260079224,XRP
25,2.527922364738188,1.5190101783588021,3.5368345511175736,2.433052805859422,,,2.5532015883855697,1.503820076575214,3.5722028966287493,XRP
26,2.5279228630958657,1.4985023875448633,3.5573433386468682,1.596459921124567,,,2.5532020917268246,1.4835173636694146,3.592916772033337,XRP
27,2.5279228322285263,1.4783946116134423,3.5774510528436103,0.7535425632628527,,,2.5532020605508117,1.4636106654973078,3.6132255633720463,XRP
28,2.5279226746671464,1.4586647699093087,3.5971805794249843,0.019867936132514082,,,2.553201901413818,1.4440781222102157,3.6331523852192342,XRP
29,2.527922688735222,1.439292647666177,3.6165527298042672,2.469367319972189,,,2.5532019156225743,1.4248997211895151,3.65271825710231,XRP
30,2.5279227690158073,1.4202593457649635,3.635586192266651,0.37196702866473386,,,2.5532019967059654,1.4060567523073138,3.6719420541893175,XRP
1,994.258387194265,946.0356856015101,1042.4810887870199,476.2716106828446,,,1004.2009710662077,936.575328745495,1052.9058996748902,BNB
2,994.1122718343316,922.122056243831,1066.1024874248324,45.858894295980534,,,1004.053394552675,912.9008356813927,1076.7635122990807,BNB
3,994.3846614056446,911.1398511386981,1077.629471672591,699.0649088548996,,,1004.3285080197011,902.0284526273111,1088.405766389317,BNB
4,993.6834139881197,903.0361897171601,1084.3306382590793,698.6940563777955,,,1003.6202481280009,894.0058278199886,1095.17394464167,BNB
5,993.902397207697,893.7923975571166,1094.0123968582775,464.2448699271202,,,1003.841421179774,884.8544735815454,1104.9525208268603,BNB
6,994.005336301796,884.3994840957154,1103.6111885078765,420.4044777161288,,,1003.945389664814,875.5554892547582,1114.6473003929552,BNB
7,994.0399658596889,876.5494385728755,1111.5304931465023,414.74896618676473,,,1003.9803655182858,867.7839441871467,1122.6457980779674,BNB
8,993.9269219127156,869.5440994832489,1118.309744342182,655.7438269969264,,,1003.8661911318427,860.8486584884164,1129.4928417856038,BNB
9,993.9401183134675,862.6847797447033,1125.1954568822316,117.82066671670394,,,1003.8795194966021,854.0579319472563,1136.447411451054,BNB
10,993.9714455626469,855.9806074696534,1131.9622836556405,673.8898070159757,,,1003.9111600182733,847.4208013949568,1143.2819064921969,BNB
11,993.9796894390837,849.6800847996764,1138.2792940784911,567.881995392733,,,1003.9194863334745,841.1832839516796,1149.662087019276,BNB
12,993.9598153177083,843.7175768416604,1144.202053793756,190.468768852135,,,1003.8994134708854,835.2804010732438,1155.6440743316937,BNB
13,993.9579359708079,837.956512505723,1149.9593594358928,614.2813562315401,,,1003.897515330516,829.5769473806658,1161.4589530302517,BNB
14,993.9648457204739,832.3652767787246,1155.5644146622233,254.5909231238903,,,1003.9044941776787,824.0416240109373,1167.1200588088454,BNB
15,993.967338742531,826.9706257455127,1160.9640517395492,560.8714065736913,,,1003.9070121299562,818.7009194880576,1172.5736922569447,BNB
16,993.963830571842,821.7594937623743,1166.1681673813098,121.13448626817603,,,1003.9034688775604,813.5418988247505,1177.8298490551228,BNB
17,993.962731604023,816.6992905380856,1171.2261726699603,324.94393259615293,,,1003.9023589200633,808.5322976327047,1182.9384343966599,BNB
18,993.9640508815085,811.7730004389789,1176.155101324038,348.76510267290814,,,1003.9036913903235,803.655270434589,1187.9166523372785,BNB
19,993.9647567139518,806.9769762435554,1180.9525371843483,348.9311377701173,,,1003.9044042810914,798.9072064811198,1192.7620625561917,BNB
20,993.9641641626254,802.3036509421843,1185.6246773830665,476.9238401712519,,,1003.9038058042516,794.2806144327624,1197.4809241568971,BNB
21,993.9638247227793,797.7416568803471,1190.1859925652116,195.26787422693474,,,1003.9034629700071,789.7642403115436,1202.0878524908637,BNB
22,993.964048406143,793.2821665461694,1194.6459302661167,540.8926995627384,,,1003.9036888902044,785.3493448807077,1206.592389568778,BNB
23,993.9642298254688,788.919531999589,1199.0089276513486,40.27020521521131,,,1003.9038721237235,781.0303366795931,1210.9990169278622,BNB
24,993.9641386982039,784.6482864292558,1203.2799909671521,446.68943590053857,,,1003.903780085186,776.8018035649633,1215.3127908768236,BNB
25,993.964051655148,780.4625658973735,1207.4655374129225,72.2943333783931,,,1003.9036921716994,772.6579402383998,1219.5401927870516,BNB
26,993.9640841580012,776.3571437672617,1211.5710245487408,124.1086056061761,,,1003.9037249995813,768.593572329589,1223.6867347942282,BNB
27,993.9641271230261,772.3276989804539,1215.6005552655984,694.8669548447771,,,1003.9037683942563,764.6044219906494,1227.7565608182545,BNB
28,993.9641155321814,768.3702946824119,1219.5579363819509,263.0620445307466,,,1003.9037566875032,760.6865917355877,1231.7535157457703,BNB
29,993.9640953562214,764.4811561953968,1223.447034517046,584.0430935292893,,,1003.9037363097837,756.8363446334429,1235.6815048622163,BNB
30,993.9640987833886,760.6568071306078,1227.2713904361694,646.9772551956805,,,1003.9037397712225,753.0502390593017,1239.5441043405312,BNB
1,166.2127510362167,151.04901205557638,181.37649001685702,39.52202048571581,,,167.87487854657888,149.5385219350206,183.19025491702558,SOL
2,166.22196849775355,145.24829147642134,187.19564551908576,91.0361906110596,,,167.8841881827311,143.79580856165714,189.0676019742766,SOL
3,165.78370482408738,140.98165228258756,190.5857573655872,121.92912027291428,,,167.44154187232826,139.57183575976168,192.49161493924308,SOL
4,166.5368670924819,138.835734660521,194.2379995244428,30.017683131370628,,,168.20223576340675,137.4473773139158,196.18037951968725,SOL
5,166.81145462161987,136.37964912634084,197.2432601168989,94.60219346898391,,,168.47956916783608,135.01585263507744,199.2156927180679,SOL
6,166.6556799695807,133.05107512927137,200.26028480989,44.73037297916767,,,168.3222367692765,131.72056437797866,202.2628876579889,SOL
7,166.5879285435696,130.12747608047687,203.04838100666234,58.018749559815454,,,168.2538078290053,128.8262013196721,205.07886481672895,SOL
8,166.54565382404837,127.538242380991,205.55306526710575,170.45126018049646,,,168.21111036228885,126.26285995718108,207.6085959197768,SOL
9,166.63993799445228,125.30102448326898,207.9788515056356,109.54247843074852,,,168.3063373743968,124.04801423843628,210.05864002069194,SOL
10,166.67045612844737,123.10177698257296,210.23913527432177,115.00365830039603,,,168.33716068973183,121.87075921274723,212.34152662706498,SOL
11,166.64812939868827,120.89933623425934,212.3969225631172,151.8061550913152,,,168.31461069267516,119.69034287191674,214.52089178874837,SOL
12,166.63329844113176,118.80805356051386,214.45854332174966,24.68026028293946,,,168.29963142554308,117.61997302490872,216.60312875496714,SOL
13,166.63003836467595,116.82864812698787,216.43142860236404,135.0800876031148,,,168.2963387483227,115.660361645718,218.5957428883877,SOL
14,166.6424584585133,114.94760840491858,218.337308512108,94.01143802624033,,,168.30888304309843,113.7981323208694,220.52068159722907,SOL
15,166.64610682972258,113.12097362092618,220.171240038519,153.57833548782787,,,168.3125678980198,111.98976388471692,222.37295243890418,SOL
16,166.6428204450574,111.34186213411002,221.94377875600478,3.9744937908224363,,,168.30924864950796,110.22844351276892,224.16321654356483,SOL
17,166.64033635410186,109.61937786163557,223.66129484656815,26.239682636580977,,,168.30673971764287,108.52318408301922,225.89790779503383,SOL
18,166.64021436053542,107.95152917330513,225.32889954776573,150.33235872391458,,,168.30661650414078,106.87201388157209,227.58218854324338,SOL
19,166.64190296477625,106.33243821563624,226.95136771391626,1.2972530080720956,,,168.308321994424,105.26911383347988,229.22088139105543,SOL
20,166.64235205540672,104.753967769212,228.53073634160143,152.41476083542796,,,168.3087755759608,103.70642809151988,230.81604370501745,SOL
21,166.64185869636205,103.21316026505407,230.07055712767004,25.800743272908555,,,168.30827728332568,102.18102866240353,232.37126269894674,SOL
22,166.6414819422307,101.70907714171751,231.57388674274392,137.55078100522883,,,168.307896761653,100.69198637030034,233.88962561017135,SOL
23,166.641506143075,100.23969577205133,233.04331651409865,41.205976779907,,,168.30792120450573,99.23729881433081,235.37374967923964,SOL
24,166.64174009811242,98.80244204429401,234.48103815193082,61.417752578443476,,,168.30815749909354,97.81441762385107,236.82584853345014,SOL
25,166.64179523036023,97.39475974133997,235.8888307193805,160.5638102484822,,,168.30821318266382,96.42081214392657,238.24771902657432,SOL
26,166.64172050510254,96.01491962871961,237.26852138148547,17.493377058532307,,,168.30813771015357,95.05477043243242,239.64120659530033,SOL
27,166.64166613687044,94.66155574823073,238.62177652551014,115.89565790078225,,,168.30808279823916,93.71494019074842,241.00799429076525,SOL
28,166.64167469058486,93.33326831451092,239.9500810666588,2.6551080984851754,,,168.3080914374907,92.3999356313658,242.3495818773254,SOL
