date,coin,open,high,low,close,volume,avg_sentiment,sentiment_count,sentiment_7d,sentiment_14d,sentiment_30d,log_return,volatility_14d,future_vol_7d,future_vol_14d,future_vol_30d,future_return_7d,future_return_14d,future_return_30d
2025-03-21,ADA,0.7179,0.7277,0.7006,0.705,99337577.7,0.885,2.0,0.5052047619047618,0.4557380952380953,0.47308694444444443,-0.05330545303502044,0.18557692951822094,0.09649832274616121,0.051004896894533025,,-0.10893617021276591,0.192340425531915,
2025-03-22,ADA,0.705,0.7161,0.6971,0.7014,58014666.0,0.5514,2.0,0.5187571428571428,0.4513809523809523,0.49146694444444444,-0.005119465106190864,0.18515086568205538,0.07332473006969394,0.052974100039942136,,-0.031365839749073254,0.1481323068149416,
2025-03-23,ADA,0.7015,0.716,0.6917,0.7107,83791747.2,0.7003,2.0,0.5062,0.5646880952380953,0.4877236111111111,0.013172062126771631,0.18517429750191083,0.06767941470670594,0.05298116619425907,,-0.01829182496130577,0.14957084564513856,
2025-03-26,ADA,0.7447,0.7744,0.7197,0.7287,166873889.6,0.0,2.0,0.6364571428571428,0.5294095238095238,0.4628036111111111,0.02501172484338707,0.18236374006937317,0.05563539543235857,0.052835557577299394,,-0.06463565253190617,0.1388774529984904,
2025-04-01,ADA,0.6618,0.6949,0.6577,0.677,106364321.5,0.0,2.0,0.5165642857142857,0.4632095238095238,0.4490136111111111,-0.0735908517639615,0.1829265856071606,0.04402103059820905,0.04931219256291927,,0.03323485967503692,0.17961595273264397,
2025-04-03,ADA,0.64,0.6576,0.613,0.6508,114219073.8,0.0,2.0,0.37836428571428576,0.40780238095238097,0.4477752777777778,-0.03946889756739228,0.1832799726931865,0.050825655658001734,0.049896824713835275,,0.18208358942839564,0.17148125384142587,
2025-04-16,ADA,0.609,0.6245,0.5946,0.6105,126774167.2,0.0,2.0,0.3052428571428571,0.3750309523809524,0.4291952777777778,-0.06392408179412341,0.18394929540144217,0.0500931526418963,0.04641775236684006,,0.27338247338247323,0.2165438165438165,
2025-04-19,ADA,0.6276,0.6349,0.6191,0.6282,42619558.8,-0.9485,2.0,0.043314285714285736,0.27425952380952384,0.3684119444444444,0.028580293553786808,0.09649832274616121,0.051004896894533025,0.04661062021108379,,0.33810888252148996,0.22460999681630045,
2025-04-22,ADA,0.6241,0.685,0.6153,0.6794,143341355.5,0.6124,2.0,0.05202857142857144,0.2853928571428571,0.3736594444444445,0.07835146862193733,0.07332473006969394,0.052974100039942136,,,0.18531056814836622,,
2025-04-23,ADA,0.6794,0.7183,0.6774,0.6977,159614226.0,0.757,2.0,0.060128571428571434,0.2831642857142857,0.3756727777777778,0.026579155218707417,0.06767941470670594,0.05298116619425907,,,0.17099039701877583,,
2025-04-30,ADA,0.6957,0.7037,0.6647,0.6816,97477142.0,0.1891,2.0,0.08714285714285716,0.3618,0.36247944444444447,-0.023346235430084943,0.05563539543235857,0.052835557577299394,,,0.21757629107981225,,
2025-05-03,ADA,0.6982,0.7297,0.6917,0.6995,125664048.1,0.4515,2.0,0.15164285714285716,0.33410357142857144,0.3468061111111111,0.025922818590429997,0.04402103059820905,0.04931219256291927,,,0.14167262330235886,,
2025-05-08,ADA,0.6716,0.771,0.67,0.7693,238990032.9,0.16096666666666667,12.0,0.17463809523809526,0.2765011904761905,0.3760016666666666,0.0951152163593531,0.050825655658001734,0.049896824713835275,,,-0.008969192772650514,,
2025-05-09,ADA,0.7694,0.818,0.7532,0.7774,223733227.0,0.0,2.0,0.17463809523809526,0.2399404761904762,0.34457166666666666,0.010474007953233713,0.0500931526418963,0.04641775236684006,,,-0.044635966040648234,,
